Time,timeStamp,avgnoise,magRMS,maxnoise,temperature,totalAccel,xtRaccel,xtRv,ytRaccel,ytRv,ztRaccel,ztRv
2024-03-07 06:03:24,1.70979E+12,87.4372,"[{""N"":""548.4055""},{""N"":""588.4807""},{""N"":""1555.832""}]",87.4372,36.875,3.06,1.142308,4.283813,2.189061,12.42528,1.806146,11.40883
2024-03-07 06:02:25,1.70979E+12,87.91711,"[{""N"":""522.6752""},{""N"":""620.9733""},{""N"":""1562.33""}]",87.91711,36.8125,3.28,1.313111,6.364806,2.250402,12.81847,1.9902,12.54547
2024-03-07 06:01:24,1.70979E+12,88.5304,"[{""N"":""604.9138""},{""N"":""596.9102""},{""N"":""1566.345""}]",88.5304,36.8125,3.16,1.207598,4.995031,2.246055,12.05207,1.863686,11.25106
2024-03-07 06:00:25,1.70979E+12,88.91655,"[{""N"":""591.7736""},{""N"":""570.4366""},{""N"":""1561.568""}]",88.91655,36.75,3.13,1.283724,5.93359,2.133981,11.99795,1.90342,11.86099
2024-03-07 05:59:05,1.70979E+12,89.60411,"[{""N"":""526.1399""},{""N"":""605.1987""},{""N"":""1553.056""}]",89.60411,36.75,3.17,1.319992,5.73048,2.171483,11.95689,1.886789,11.66379
2024-03-07 05:58:06,1.70979E+12,88.25047,"[{""N"":""518.226""},{""N"":""627.5804""},{""N"":""1558.714""}]",88.25047,36.75,3.15,1.203891,4.454462,2.253448,12.40497,1.84334,11.2453
2024-03-07 05:57:05,1.70979E+12,90.44034,"[{""N"":""579.9749""},{""N"":""618.4493""},{""N"":""1557.787""}]",90.44034,36.6875,3.11,1.171027,4.79139,2.199458,12.58397,1.868844,11.54375
2024-03-07 05:56:06,1.70979E+12,87.70444,"[{""N"":""589.8296""},{""N"":""605.4066""},{""N"":""1561.97""}]",87.70444,36.6875,3,1.172883,4.895001,2.111631,11.89649,1.785325,11.10675
2024-03-07 05:55:05,1.70979E+12,87.59989,"[{""N"":""520.9633""},{""N"":""710.6538""},{""N"":""1590.448""}]",87.59989,36.6875,3.25,1.312495,5.542739,2.261422,12.65224,1.926146,12.00301
2024-03-07 05:54:06,1.70979E+12,90.33367,"[{""N"":""569.1041""},{""N"":""643.7247""},{""N"":""1571.186""}]",90.33367,36.625,3.26,1.369396,6.388332,2.170389,12.05716,2.003525,12.21696
2024-03-07 05:53:05,1.70979E+12,87.65311,"[{""N"":""505.5088""},{""N"":""664.194""},{""N"":""1565.253""}]",87.65311,36.625,3.44,1.430534,6.874007,2.336278,13.24817,2.081597,13.09026
2024-03-07 05:52:06,1.70979E+12,89.45998,"[{""N"":""512.5406""},{""N"":""696.8306""},{""N"":""1576.508""}]",89.45998,36.5625,3.33,1.356682,6.029177,2.319675,12.96976,1.971823,12.38713
2024-03-07 05:51:05,1.70979E+12,87.81541,"[{""N"":""576.0126""},{""N"":""571.7567""},{""N"":""1543.425""}]",87.81541,36.5625,3.27,1.321238,5.895787,2.2434,13.18191,1.978235,12.62738
2024-03-07 05:50:05,1.70979E+12,86.04267,"[{""N"":""565.764""},{""N"":""562.3646""},{""N"":""1533.517""}]",86.04267,36.5625,3.14,1.342993,5.798212,2.139062,12.21003,1.862941,11.78697
2024-03-07 05:49:05,1.70979E+12,88.95383,"[{""N"":""535.4329""},{""N"":""684.7705""},{""N"":""1561.195""}]",88.95383,36.5625,3.15,1.206107,4.352333,2.284199,12.53599,1.800658,11.08881
2024-03-07 05:48:05,1.70979E+12,88.73086,"[{""N"":""541.9433""},{""N"":""663.0604""},{""N"":""1535.123""}]",88.73086,36.5625,3.3,1.316981,5.981559,2.276911,12.73336,1.989004,12.18053
2024-03-07 05:45:46,1.70979E+12,87.69085,"[{""N"":""584.8374""},{""N"":""613.9731""},{""N"":""1547.453""}]",87.69085,36.5,3.11,1.146952,4.254678,2.247359,12.39465,1.818245,11.21479
